starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:32:31 2017	1513344751	43	49	92	44
Fri Dec 15 14:32:35 2017	1513344755	44	49	93	45
Fri Dec 15 14:33:24 2017	1513344804	44	49	93	47
Fri Dec 15 14:32:43 2017	1513344763	44	49	93	47
Fri Dec 15 14:31:57 2017	1513344717	43	50	93	45
Fri Dec 15 14:31:46 2017	1513344706	44	49	93	46
Fri Dec 15 14:33:19 2017	1513344799	44	50	93	45
Fri Dec 15 14:32:22 2017	1513344742	44	49	93	46
Fri Dec 15 14:32:37 2017	1513344757	44	49	93	45
Fri Dec 15 14:33:25 2017	1513344805	43	50	93	45
Fri Dec 15 14:33:20 2017	1513344800	44	50	94	46
Fri Dec 15 14:33:19 2017	1513344799	44	50	94	48
Fri Dec 15 14:31:55 2017	1513344715	44	50	94	46
Fri Dec 15 14:32:11 2017	1513344731	44	50	94	47
Fri Dec 15 14:31:57 2017	1513344717	44	49	94	45
Fri Dec 15 14:32:19 2017	1513344739	44	49	94	45
Fri Dec 15 14:32:43 2017	1513344763	45	49	94	44
Fri Dec 15 14:33:23 2017	1513344803	44	49	94	46
Fri Dec 15 14:32:35 2017	1513344755	44	50	94	45
Fri Dec 15 14:32:54 2017	1513344774	44	50	94	46
Fri Dec 15 14:33:23 2017	1513344803	44	50	94	45
Fri Dec 15 14:32:10 2017	1513344730	44	49	94	46
Fri Dec 15 14:31:57 2017	1513344717	43	51	94	45
Fri Dec 15 14:32:02 2017	1513344722	44	50	94	45
Fri Dec 15 14:33:18 2017	1513344798	44	50	94	46
Fri Dec 15 14:33:20 2017	1513344800	44	50	94	47
Fri Dec 15 14:33:03 2017	1513344783	45	49	94	45
Fri Dec 15 14:32:47 2017	1513344767	44	50	94	46
Fri Dec 15 14:33:15 2017	1513344795	45	50	94	45
Fri Dec 15 14:33:18 2017	1513344798	43	51	94	46
Fri Dec 15 14:32:33 2017	1513344753	44	50	94	46
Fri Dec 15 14:33:17 2017	1513344797	44	51	94	45
Fri Dec 15 14:33:00 2017	1513344780	44	50	94	45
Fri Dec 15 14:33:20 2017	1513344800	44	50	94	46
Fri Dec 15 14:32:41 2017	1513344761	44	50	94	47
Fri Dec 15 14:32:11 2017	1513344731	44	51	94	45
Fri Dec 15 14:32:45 2017	1513344765	45	49	94	47
Fri Dec 15 14:32:04 2017	1513344724	43	51	94	46
Fri Dec 15 14:33:17 2017	1513344797	44	50	94	46
Fri Dec 15 14:33:00 2017	1513344780	44	50	94	45
Fri Dec 15 14:32:38 2017	1513344758	45	49	94	44
Fri Dec 15 14:32:40 2017	1513344760	46	49	94	45
Fri Dec 15 14:32:45 2017	1513344765	44	50	94	47
Fri Dec 15 14:32:43 2017	1513344763	44	50	94	46
Fri Dec 15 14:31:49 2017	1513344709	44	50	94	46
Fri Dec 15 14:32:42 2017	1513344762	44	50	94	45
Fri Dec 15 14:33:00 2017	1513344780	43	51	94	45
Fri Dec 15 14:32:35 2017	1513344755	43	51	95	46
Fri Dec 15 14:33:21 2017	1513344801	45	50	95	47
Fri Dec 15 14:31:56 2017	1513344716	44	50	95	47
Fri Dec 15 14:31:53 2017	1513344713	45	50	95	47
Fri Dec 15 14:32:52 2017	1513344772	44	51	95	46
Fri Dec 15 14:32:57 2017	1513344777	45	49	95	47
Fri Dec 15 14:32:44 2017	1513344764	45	50	95	45
Fri Dec 15 14:33:17 2017	1513344797	45	50	95	46
Fri Dec 15 14:31:53 2017	1513344713	45	50	95	46
Fri Dec 15 14:31:53 2017	1513344713	45	50	95	45
Fri Dec 15 14:32:24 2017	1513344744	43	51	95	46
Fri Dec 15 14:32:54 2017	1513344774	45	50	95	46
Fri Dec 15 14:33:30 2017	1513344810	44	51	95	46
Fri Dec 15 14:33:28 2017	1513344808	45	50	95	49
Fri Dec 15 14:32:10 2017	1513344730	44	50	95	47
Fri Dec 15 14:32:58 2017	1513344778	45	50	95	46
Fri Dec 15 14:33:14 2017	1513344794	44	51	95	46
Fri Dec 15 14:32:35 2017	1513344755	44	51	95	47
Fri Dec 15 14:32:29 2017	1513344749	46	49	95	44
Fri Dec 15 14:32:41 2017	1513344761	45	50	95	47
Fri Dec 15 14:33:03 2017	1513344783	45	50	95	50
Fri Dec 15 14:33:07 2017	1513344787	45	50	95	46
Fri Dec 15 14:33:29 2017	1513344809	45	50	95	47
Fri Dec 15 14:32:17 2017	1513344737	45	50	95	45
Fri Dec 15 14:32:47 2017	1513344767	45	50	95	46
Fri Dec 15 14:32:45 2017	1513344765	45	50	95	50
Fri Dec 15 14:31:59 2017	1513344719	45	50	95	46
Fri Dec 15 14:31:49 2017	1513344709	44	51	95	44
Fri Dec 15 14:31:56 2017	1513344716	45	50	95	46
Fri Dec 15 14:33:21 2017	1513344801	45	50	95	49
Fri Dec 15 14:33:08 2017	1513344788	46	50	95	46
Fri Dec 15 14:32:53 2017	1513344773	45	50	95	46
Fri Dec 15 14:33:25 2017	1513344805	45	50	95	45
Fri Dec 15 14:31:50 2017	1513344710	46	50	95	45
Fri Dec 15 14:31:51 2017	1513344711	44	51	95	45
Fri Dec 15 14:32:15 2017	1513344735	46	50	95	45
Fri Dec 15 14:32:52 2017	1513344772	45	51	95	46
Fri Dec 15 14:32:54 2017	1513344774	44	51	95	46
Fri Dec 15 14:32:45 2017	1513344765	43	52	95	47
Fri Dec 15 14:33:06 2017	1513344786	46	49	95	48
Fri Dec 15 14:32:33 2017	1513344753	45	51	95	46
Fri Dec 15 14:33:00 2017	1513344780	45	50	96	46
Fri Dec 15 14:33:05 2017	1513344785	45	50	96	49
Fri Dec 15 14:32:02 2017	1513344722	45	50	96	46
Fri Dec 15 14:31:56 2017	1513344716	45	51	96	45
Fri Dec 15 14:31:57 2017	1513344717	45	51	96	45
Fri Dec 15 14:32:10 2017	1513344730	45	51	96	46
Fri Dec 15 14:33:12 2017	1513344792	46	49	96	47
Fri Dec 15 14:33:26 2017	1513344806	45	50	96	46
Fri Dec 15 14:32:22 2017	1513344742	46	50	96	46
Fri Dec 15 14:32:08 2017	1513344728	46	50	96	49
Fri Dec 15 14:32:07 2017	1513344727	45	51	96	47
Fri Dec 15 14:32:00 2017	1513344720	45	51	96	50
Fri Dec 15 14:32:17 2017	1513344737	44	52	96	47
Fri Dec 15 14:32:39 2017	1513344759	45	51	96	46
Fri Dec 15 14:32:19 2017	1513344739	44	52	96	50
Fri Dec 15 14:31:51 2017	1513344711	45	51	96	49
Fri Dec 15 14:32:05 2017	1513344725	47	49	96	48
Fri Dec 15 14:33:10 2017	1513344790	46	50	96	45
Fri Dec 15 14:32:33 2017	1513344753	44	52	96	48
Fri Dec 15 14:32:14 2017	1513344734	45	51	96	46
Fri Dec 15 14:31:48 2017	1513344708	45	51	96	48
Fri Dec 15 14:32:58 2017	1513344778	44	52	96	45
Fri Dec 15 14:33:02 2017	1513344782	46	50	96	47
Fri Dec 15 14:32:35 2017	1513344755	45	51	96	49
Fri Dec 15 14:33:29 2017	1513344809	45	51	96	49
Fri Dec 15 14:32:10 2017	1513344730	46	50	96	46
Fri Dec 15 14:33:00 2017	1513344780	44	52	96	46
Fri Dec 15 14:33:23 2017	1513344803	43	53	96	47
Fri Dec 15 14:33:11 2017	1513344791	45	52	96	49
Fri Dec 15 14:31:48 2017	1513344708	46	50	96	46
Fri Dec 15 14:33:17 2017	1513344797	44	52	96	44
Fri Dec 15 14:32:15 2017	1513344735	46	50	96	46
Fri Dec 15 14:33:25 2017	1513344805	45	51	96	47
Fri Dec 15 14:32:04 2017	1513344724	46	50	96	47
Fri Dec 15 14:32:43 2017	1513344763	44	52	96	47
Fri Dec 15 14:32:01 2017	1513344721	44	52	96	46
Fri Dec 15 14:32:40 2017	1513344760	45	51	96	47
Fri Dec 15 14:32:20 2017	1513344740	46	50	96	46
Fri Dec 15 14:33:26 2017	1513344806	45	51	96	46
Fri Dec 15 14:33:09 2017	1513344789	45	51	96	46
Fri Dec 15 14:31:46 2017	1513344706	45	51	96	47
Fri Dec 15 14:33:18 2017	1513344798	45	52	96	47
Fri Dec 15 14:32:33 2017	1513344753	46	50	96	46
Fri Dec 15 14:32:42 2017	1513344762	44	52	96	47
Fri Dec 15 14:32:41 2017	1513344761	46	51	96	46
Fri Dec 15 14:32:31 2017	1513344751	44	52	96	46
Fri Dec 15 14:31:48 2017	1513344708	45	51	96	46
Fri Dec 15 14:33:18 2017	1513344798	45	51	96	48
Fri Dec 15 14:31:49 2017	1513344709	46	50	96	45
Fri Dec 15 14:32:48 2017	1513344768	45	52	96	51
Fri Dec 15 14:32:13 2017	1513344733	45	52	96	46
Fri Dec 15 14:32:23 2017	1513344743	45	52	96	46
Fri Dec 15 14:31:48 2017	1513344708	45	52	96	46
Fri Dec 15 14:31:58 2017	1513344718	45	52	96	47
Fri Dec 15 14:31:51 2017	1513344711	45	51	97	46
Fri Dec 15 14:32:59 2017	1513344779	46	51	97	46
Fri Dec 15 14:32:14 2017	1513344734	45	52	97	47
Fri Dec 15 14:32:21 2017	1513344741	46	51	97	46
Fri Dec 15 14:33:22 2017	1513344802	46	50	97	45
Fri Dec 15 14:32:58 2017	1513344778	46	50	97	44
Fri Dec 15 14:33:12 2017	1513344792	46	51	97	44
Fri Dec 15 14:32:57 2017	1513344777	44	53	97	46
Fri Dec 15 14:33:02 2017	1513344782	46	51	97	45
Fri Dec 15 14:32:15 2017	1513344735	46	51	97	47
Fri Dec 15 14:33:11 2017	1513344791	46	50	97	47
Fri Dec 15 14:33:20 2017	1513344800	44	53	97	46
Fri Dec 15 14:33:22 2017	1513344802	44	53	97	48
Fri Dec 15 14:32:11 2017	1513344731	45	52	97	48
Fri Dec 15 14:32:58 2017	1513344778	45	52	97	45
Fri Dec 15 14:32:36 2017	1513344756	46	51	97	46
Fri Dec 15 14:31:49 2017	1513344709	45	52	97	46
Fri Dec 15 14:32:31 2017	1513344751	46	50	97	48
Fri Dec 15 14:33:05 2017	1513344785	47	50	97	46
Fri Dec 15 14:32:21 2017	1513344741	44	52	97	47
Fri Dec 15 14:32:58 2017	1513344778	45	52	97	48
Fri Dec 15 14:31:46 2017	1513344706	45	52	97	46
Fri Dec 15 14:32:57 2017	1513344777	44	52	97	48
Fri Dec 15 14:33:08 2017	1513344788	44	53	97	47
