starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 15:12:19 2017	1513347139	43	45	88	44
Fri Dec 15 15:12:21 2017	1513347141	43	46	89	45
Fri Dec 15 15:11:44 2017	1513347104	44	46	89	45
Fri Dec 15 15:12:51 2017	1513347171	44	45	89	44
Fri Dec 15 15:12:35 2017	1513347155	44	45	89	45
Fri Dec 15 15:13:00 2017	1513347180	44	45	89	45
Fri Dec 15 15:11:58 2017	1513347118	43	47	90	47
Fri Dec 15 15:12:21 2017	1513347141	44	46	90	45
Fri Dec 15 15:12:35 2017	1513347155	43	46	90	46
Fri Dec 15 15:13:01 2017	1513347181	45	45	90	45
Fri Dec 15 15:13:07 2017	1513347187	44	46	90	46
Fri Dec 15 15:13:10 2017	1513347190	43	47	90	46
Fri Dec 15 15:11:59 2017	1513347119	44	46	90	46
Fri Dec 15 15:11:38 2017	1513347098	44	47	90	47
Fri Dec 15 15:13:01 2017	1513347181	44	46	90	45
Fri Dec 15 15:11:44 2017	1513347104	44	46	90	45
Fri Dec 15 15:12:21 2017	1513347141	43	47	90	47
Fri Dec 15 15:12:18 2017	1513347138	45	46	90	45
Fri Dec 15 15:12:07 2017	1513347127	44	46	90	45
Fri Dec 15 15:11:44 2017	1513347104	45	45	90	44
Fri Dec 15 15:11:56 2017	1513347116	45	46	90	46
Fri Dec 15 15:12:51 2017	1513347171	45	45	90	45
Fri Dec 15 15:12:46 2017	1513347166	44	46	91	46
Fri Dec 15 15:12:20 2017	1513347140	45	46	91	45
Fri Dec 15 15:13:02 2017	1513347182	44	46	91	46
Fri Dec 15 15:11:29 2017	1513347089	45	46	91	46
Fri Dec 15 15:13:06 2017	1513347186	45	46	91	45
Fri Dec 15 15:12:25 2017	1513347145	45	46	91	45
Fri Dec 15 15:12:33 2017	1513347153	45	46	91	45
Fri Dec 15 15:12:46 2017	1513347166	45	46	91	45
Fri Dec 15 15:11:52 2017	1513347112	46	45	91	45
Fri Dec 15 15:12:59 2017	1513347179	46	45	91	44
Fri Dec 15 15:11:44 2017	1513347104	43	47	91	47
Fri Dec 15 15:11:30 2017	1513347090	44	47	91	47
Fri Dec 15 15:12:52 2017	1513347172	45	46	91	46
Fri Dec 15 15:12:59 2017	1513347179	46	45	91	45
Fri Dec 15 15:11:43 2017	1513347103	43	48	91	47
Fri Dec 15 15:12:35 2017	1513347155	44	47	91	47
Fri Dec 15 15:12:56 2017	1513347176	44	47	91	47
Fri Dec 15 15:12:11 2017	1513347131	44	47	91	46
Fri Dec 15 15:12:48 2017	1513347168	46	45	91	45
Fri Dec 15 15:12:23 2017	1513347143	44	47	91	45
Fri Dec 15 15:11:39 2017	1513347099	43	48	91	47
Fri Dec 15 15:12:43 2017	1513347163	44	47	91	46
Fri Dec 15 15:12:46 2017	1513347166	44	47	91	46
Fri Dec 15 15:11:47 2017	1513347107	46	45	91	45
Fri Dec 15 15:12:21 2017	1513347141	45	46	91	45
Fri Dec 15 15:12:17 2017	1513347137	44	47	91	46
Fri Dec 15 15:12:55 2017	1513347175	44	47	91	47
Fri Dec 15 15:12:10 2017	1513347130	46	46	91	46
Fri Dec 15 15:12:06 2017	1513347126	44	47	91	46
Fri Dec 15 15:13:06 2017	1513347186	44	47	91	47
Fri Dec 15 15:12:50 2017	1513347170	44	47	91	47
Fri Dec 15 15:12:33 2017	1513347153	46	46	91	45
Fri Dec 15 15:12:34 2017	1513347154	44	47	92	47
Fri Dec 15 15:13:06 2017	1513347186	45	47	92	46
Fri Dec 15 15:12:01 2017	1513347121	46	46	92	45
Fri Dec 15 15:12:58 2017	1513347178	45	47	92	47
Fri Dec 15 15:12:24 2017	1513347144	45	47	92	46
Fri Dec 15 15:12:17 2017	1513347137	46	46	92	45
Fri Dec 15 15:12:48 2017	1513347168	45	46	92	46
Fri Dec 15 15:12:45 2017	1513347165	44	48	92	47
Fri Dec 15 15:12:56 2017	1513347176	45	47	92	45
Fri Dec 15 15:12:14 2017	1513347134	45	47	92	46
Fri Dec 15 15:12:31 2017	1513347151	45	47	92	47
Fri Dec 15 15:12:31 2017	1513347151	46	45	92	45
Fri Dec 15 15:12:11 2017	1513347131	45	47	92	47
Fri Dec 15 15:12:19 2017	1513347139	46	46	92	45
Fri Dec 15 15:12:17 2017	1513347137	44	48	92	48
Fri Dec 15 15:11:37 2017	1513347097	47	46	92	45
Fri Dec 15 15:11:47 2017	1513347107	46	46	92	45
Fri Dec 15 15:12:31 2017	1513347151	46	46	92	46
Fri Dec 15 15:12:19 2017	1513347139	45	47	92	47
Fri Dec 15 15:12:56 2017	1513347176	45	47	92	47
Fri Dec 15 15:12:50 2017	1513347170	46	46	92	45
Fri Dec 15 15:12:15 2017	1513347135	44	48	92	47
Fri Dec 15 15:11:30 2017	1513347090	44	48	92	48
Fri Dec 15 15:11:38 2017	1513347098	45	47	92	47
Fri Dec 15 15:11:45 2017	1513347105	45	47	92	47
Fri Dec 15 15:12:24 2017	1513347144	45	47	92	46
Fri Dec 15 15:11:31 2017	1513347091	44	48	92	48
Fri Dec 15 15:12:43 2017	1513347163	45	47	92	47
Fri Dec 15 15:12:32 2017	1513347152	47	46	92	45
Fri Dec 15 15:12:31 2017	1513347151	45	48	92	47
Fri Dec 15 15:12:46 2017	1513347166	46	46	92	45
Fri Dec 15 15:11:42 2017	1513347102	45	47	92	46
Fri Dec 15 15:12:52 2017	1513347172	45	47	92	47
Fri Dec 15 15:13:00 2017	1513347180	47	46	92	45
Fri Dec 15 15:12:35 2017	1513347155	45	47	92	47
Fri Dec 15 15:11:33 2017	1513347093	45	48	92	47
Fri Dec 15 15:11:52 2017	1513347112	45	48	92	46
Fri Dec 15 15:12:37 2017	1513347157	46	46	92	45
Fri Dec 15 15:11:45 2017	1513347105	44	48	92	48
Fri Dec 15 15:12:39 2017	1513347159	45	48	92	48
Fri Dec 15 15:12:06 2017	1513347126	45	47	92	47
Fri Dec 15 15:11:52 2017	1513347112	46	47	92	47
Fri Dec 15 15:11:56 2017	1513347116	44	48	92	48
Fri Dec 15 15:11:30 2017	1513347090	46	46	92	46
Fri Dec 15 15:12:34 2017	1513347154	47	46	93	45
Fri Dec 15 15:12:31 2017	1513347151	46	46	93	46
Fri Dec 15 15:12:54 2017	1513347174	46	47	93	46
Fri Dec 15 15:12:08 2017	1513347128	44	49	93	49
Fri Dec 15 15:12:54 2017	1513347174	46	47	93	47
Fri Dec 15 15:13:10 2017	1513347190	46	47	93	47
Fri Dec 15 15:12:15 2017	1513347135	46	46	93	45
Fri Dec 15 15:13:09 2017	1513347189	46	47	93	46
Fri Dec 15 15:13:01 2017	1513347181	46	46	93	46
Fri Dec 15 15:12:50 2017	1513347170	44	49	93	48
Fri Dec 15 15:11:37 2017	1513347097	45	47	93	46
Fri Dec 15 15:12:08 2017	1513347128	46	47	93	47
Fri Dec 15 15:12:33 2017	1513347153	45	48	93	48
Fri Dec 15 15:11:36 2017	1513347096	46	47	93	47
Fri Dec 15 15:13:01 2017	1513347181	47	46	93	46
Fri Dec 15 15:11:46 2017	1513347106	45	48	93	47
Fri Dec 15 15:11:54 2017	1513347114	45	48	93	47
Fri Dec 15 15:12:45 2017	1513347165	45	48	93	46
Fri Dec 15 15:11:55 2017	1513347115	44	49	93	46
Fri Dec 15 15:12:56 2017	1513347176	45	48	93	48
Fri Dec 15 15:12:06 2017	1513347126	45	48	93	47
Fri Dec 15 15:12:12 2017	1513347132	46	47	93	47
Fri Dec 15 15:12:11 2017	1513347131	45	48	93	48
Fri Dec 15 15:12:50 2017	1513347170	47	46	93	46
Fri Dec 15 15:12:42 2017	1513347162	45	48	93	48
Fri Dec 15 15:12:50 2017	1513347170	45	48	93	48
Fri Dec 15 15:11:31 2017	1513347091	45	48	93	48
Fri Dec 15 15:12:30 2017	1513347150	46	47	93	45
Fri Dec 15 15:13:09 2017	1513347189	45	48	93	48
Fri Dec 15 15:13:07 2017	1513347187	44	49	93	49
Fri Dec 15 15:12:34 2017	1513347154	47	46	93	46
Fri Dec 15 15:11:44 2017	1513347104	46	48	93	47
Fri Dec 15 15:12:04 2017	1513347124	43	50	93	47
Fri Dec 15 15:11:51 2017	1513347111	46	47	93	46
Fri Dec 15 15:12:50 2017	1513347170	47	47	93	46
Fri Dec 15 15:12:47 2017	1513347167	46	47	93	47
Fri Dec 15 15:12:42 2017	1513347162	44	49	93	49
Fri Dec 15 15:12:20 2017	1513347140	45	48	93	48
Fri Dec 15 15:12:37 2017	1513347157	47	46	93	46
Fri Dec 15 15:12:36 2017	1513347156	45	48	93	47
Fri Dec 15 15:12:09 2017	1513347129	46	48	93	48
Fri Dec 15 15:11:35 2017	1513347095	45	48	93	47
Fri Dec 15 15:12:19 2017	1513347139	45	48	93	47
Fri Dec 15 15:12:44 2017	1513347164	45	48	93	48
Fri Dec 15 15:12:17 2017	1513347137	47	47	93	46
Fri Dec 15 15:11:40 2017	1513347100	47	47	93	46
Fri Dec 15 15:13:09 2017	1513347189	47	46	93	45
Fri Dec 15 15:11:56 2017	1513347116	46	48	93	47
Fri Dec 15 15:12:33 2017	1513347153	46	47	93	46
Fri Dec 15 15:11:40 2017	1513347100	46	47	93	46
Fri Dec 15 15:12:14 2017	1513347134	46	48	93	47
