starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:46:33 2017	1513345593	43	261	304	219
Fri Dec 15 14:46:03 2017	1513345563	44	261	304	219
Fri Dec 15 14:47:43 2017	1513345663	43	261	304	219
Fri Dec 15 14:48:48 2017	1513345728	43	261	305	220
Fri Dec 15 14:44:29 2017	1513345469	44	261	305	220
Fri Dec 15 14:45:40 2017	1513345540	44	261	305	219
Fri Dec 15 14:46:10 2017	1513345570	44	261	305	220
Fri Dec 15 14:47:35 2017	1513345655	44	261	305	219
Fri Dec 15 14:47:06 2017	1513345626	43	262	305	220
Fri Dec 15 14:47:34 2017	1513345654	43	262	305	220
Fri Dec 15 14:49:05 2017	1513345745	43	262	305	220
Fri Dec 15 14:44:33 2017	1513345473	44	261	305	220
Fri Dec 15 14:47:35 2017	1513345655	44	261	305	220
Fri Dec 15 14:47:54 2017	1513345674	44	261	305	220
Fri Dec 15 14:44:39 2017	1513345479	44	261	305	219
Fri Dec 15 14:47:27 2017	1513345647	44	261	305	220
Fri Dec 15 14:48:49 2017	1513345729	43	262	306	220
Fri Dec 15 14:46:19 2017	1513345579	44	262	306	220
Fri Dec 15 14:46:44 2017	1513345604	44	262	306	220
Fri Dec 15 14:47:39 2017	1513345659	43	262	306	220
Fri Dec 15 14:44:56 2017	1513345496	44	262	306	220
Fri Dec 15 14:47:17 2017	1513345637	44	261	306	220
Fri Dec 15 14:48:38 2017	1513345718	44	262	306	220
Fri Dec 15 14:48:44 2017	1513345724	44	262	306	220
Fri Dec 15 14:44:45 2017	1513345485	44	262	306	220
Fri Dec 15 14:46:50 2017	1513345610	44	262	306	220
Fri Dec 15 14:47:06 2017	1513345626	44	262	306	220
Fri Dec 15 14:44:59 2017	1513345499	44	262	306	220
Fri Dec 15 14:47:27 2017	1513345647	44	262	306	219
Fri Dec 15 14:44:32 2017	1513345472	44	262	306	220
Fri Dec 15 14:48:47 2017	1513345727	44	262	306	220
Fri Dec 15 14:47:28 2017	1513345648	44	262	306	220
Fri Dec 15 14:48:30 2017	1513345710	44	262	306	220
Fri Dec 15 14:44:52 2017	1513345492	44	262	306	220
Fri Dec 15 14:46:44 2017	1513345604	43	263	306	220
Fri Dec 15 14:45:41 2017	1513345541	44	262	306	220
Fri Dec 15 14:49:05 2017	1513345745	44	262	306	220
Fri Dec 15 14:48:32 2017	1513345712	44	262	306	220
Fri Dec 15 14:45:19 2017	1513345519	44	263	306	220
Fri Dec 15 14:49:23 2017	1513345763	44	262	306	220
Fri Dec 15 14:48:48 2017	1513345728	44	262	306	220
